grid_id,LST_mean,LST_stdDev,LST_min,LST_max,LST_median
7867,302.60266666666666,0.22000000006540424,302.28000000000003,302.72,302.72
7869,304.02,0.0,304.02,304.02,304.02
7870,305.35,0.6099999999944464,304.74,305.96,305.35
7872,303.97066666666666,0.7699999999832332,303.56,305.1,303.56
7873,307.04689655172416,1.2061172206650355,305.52,308.40999999999997,307.20000000000005
7879,301.31571428571425,0.09000000011628598,301.2,301.38,301.38
7881,302.5566666666667,0.43000000000869054,302.27,303.13,302.27
7882,304.73733333333337,1.4191390191048188,303.16,306.62,305.18
7884,309.5886206896552,0.32499999997223944,309.23,309.88,309.88
7885,312.03,0.0,312.03,312.03,312.03
7886,304.86,0.0,304.86,304.86,304.86
7887,,,,,
7888,300.64,0.0,300.64,300.64,300.64
7890,301.2764285714286,0.06499999997653784,301.23,301.36,301.23
7894,302.52,0.0,302.52,302.52,302.52
7895,309.66,0.0,309.66,309.66,309.66
7899,,,,,
7900,300.93448275862073,0.24779023384015342,300.56,301.1,301.1
7903,306.89,0.0,306.89,306.89,306.89
7904,309.61136363636365,0.689904884730813,308.69,310.46,310.09000000000003
7907,305.92,0.0,305.92,305.92,305.92
7909,302.0632258064516,0.19500000004155132,301.95,302.34000000000003,301.95
7910,,,,,
7913,302.23,0.14999999992433005,302.06,302.36,302.36
7915,301.08000000000004,0.0,301.08000000000004,301.08000000000004,301.08000000000004
7918,300.8,0.0,300.8,300.8,300.8
7920,301.97,0.0,301.97,301.97,301.97
7922,306.53,0.0,306.53,306.53,306.53
7923,303.56225806451613,0.4000000000043656,303.33000000000004,304.13,303.33000000000004
7926,302.58,0.0,302.58,302.58,302.58
7927,303.14,0.0,303.14,303.14,303.14
7930,307.0877419354839,0.9799999999981113,305.76,307.72,307.72
7932,305.8743333333333,0.1150000000737972,305.79,306.02,305.79
7934,310.61894736842106,1.100000000009525,310.04,312.24,310.04
7936,302.42,0.0,302.42,302.42,302.42
7940,310.1030434782609,0.18499999994928068,309.90999999999997,310.28000000000003,310.28000000000003
7941,301.376,0.10500000013759182,301.32,301.53,301.32
7942,302.3,0.0,302.3,302.3,302.3
